CategoryName,CategoryImage,CategorySlug,CategoryPriority
Maintenance Service Parts,maintance.png,,2
Air Conditioning,aircondition.png,,1
Body,body.png,,3
Brakes,,,
Filters,,,
Coils,,,
Spark plug,,,
LUBRICANTS,,,
Relay,,,
HORN,,,
Auto Electrical,,,
LIGHT,,,
BULB,,,
CABLES,,,
ELECTRICALS ,,,
LIGHT,,,
MIRROR,,,
Brake Pad,,,
Brake Shoes,,,
Gas Spring,,,
Shock Absorber,,,
Strut Kit,,,
Strut Mount,,,
Cabin Filter,,,
Coolant,,,
Fog Light,,,
Head Lights,,,
Tail Lights,,,
RVM 4W,,,
Mirror Plate 4W,,,
Wiper Blade,,,
